n_features,accuracy,precision,recall,f1_score
95,0.674980208020529,0.994263599712372,0.6766054541455905,0.805238654543908
96,0.674980208020529,0.994263599712372,0.6766054541455905,0.805238654543908
97,0.674980208020529,0.994263599712372,0.6766054541455905,0.805238654543908
98,0.674980208020529,0.994263599712372,0.6766054541455905,0.805238654543908
99,0.6749692883077175,0.9942555202753472,0.6765999560149549,0.805232111133286
100,0.6749692883077175,0.9942555202753472,0.6765999560149549,0.805232111133286
101,0.6749747481641233,0.9942635533651127,0.6765999560149549,0.8052347456240798
102,0.6749747481641233,0.9942635533651127,0.6765999560149549,0.8052347456240798
103,0.6749419890256886,0.9942552882051614,0.676572465361777,0.8052125661713224
104,0.6751494635691081,0.9941772192789766,0.676836375632285,0.8053738256614241
105,0.6751494635691081,0.9941772192789766,0.676836375632285,0.8053738256614241
106,0.6751385438562966,0.99417712522815,0.6768253793710138,0.8053660100359173
107,0.6751330839998908,0.9941770782015975,0.6768198812403783,0.8053621021848145
108,0.6751330839998908,0.9941770782015975,0.6768198812403783,0.8053621021848145
109,0.6751330839998908,0.9941770782015975,0.6768198812403783,0.8053621021848145
110,0.675127624143485,0.9941770311742852,0.6768143831097427,0.8053581943081453
111,0.6748164123283558,0.9936000387387315,0.6768968550692764,0.8052271679306183
112,0.67481095247195,0.9935999870869853,0.6768913569386409,0.8052232607117396
113,0.6748054926155442,0.9935999354344054,0.6768858588080052,0.8052193534673054
114,0.6748327918975731,0.993695817122193,0.6768473718935561,0.805223602362591
115,0.6748327918975731,0.993695817122193,0.6768473718935561,0.805223602362591
116,0.6748164123283558,0.993695664457593,0.6768308775016494,0.8052118797892486
117,0.6748164123283558,0.993695664457593,0.6768308775016494,0.8052118797892486
118,0.6748164123283558,0.993695664457593,0.6768308775016494,0.8052118797892486
119,0.6747891130463268,0.9937113518575327,0.6767923905872003,0.8051897931016438
120,0.6747891130463268,0.9937113518575327,0.6767923905872003,0.8051897931016438
121,0.6747891130463268,0.9937113518575327,0.6767923905872003,0.8051897931016438
